Sorterings ID,Data type,Navn DE/ENG,Navn DK,"Global Opvarmning, modul A1-A3","Global Opvarmning, modul C3","Global Opvarmning, modul C4","Global Opvarmning, modul D",Deklareret faktor (FU),Deklareret enhed (FU),Masse faktor,Url (link),Kommentar
#G0435,Generisk data,Strom-Wärmepumpe (Wasser-Wasser) 70 kW,"Varmepumpe, vand-vand, 70 kW",553.729,13.6581,0.0300174,-307.478,1,STK,199.22,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a70d347a-239c-4e45-a8dc-e9e574dbf898?version=20.19.120,
#G0439,Generisk data,"Bitumen Emulsion (40% Bitumen, 60% Wasser)","Bitumenemulsion (40% bitumen, 60% vand)",0.356326,0,0.0859383,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a6b26cf9-3f9a-4abc-9412-87fdc0cdf3f6?version=20.19.120,
#G0442,Generisk data,Pfosten/Riegelsystem aus Stahl,"Curtain wall profiler, stål",36.6271,3.42169,-,-14.8223,1,M,9.48,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a60431a7-10aa-4106-bc7c-c6acb01ee9b3?version=20.19.120,
#G0445,Generisk data,Kohlenstoffdioxid (R744),Kuldioxid (R744),1.0753,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a5bb6444-74e1-43f7-8e7d-55aed1ac1b6e?version=20.19.120,
#G0446,Generisk data,Hüttensteine,"Slaggebeton, sten",352.838,10.2721,-,-2.87557,1,M3,1400,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a4fceab4-71a2-46c9-ac9a-19a964d48ce5?version=20.19.120,
#G0449,Generisk data,Brechsand 0/2,Stenmel 0/2,0.014695,0.00672578,-,-0.00205398,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a4d16918-287f-43af-831d-baf80093fe4a?version=20.19.120,
#G0452,Generisk data,Aluminiumblech,Aluminiumsplade,10.4617,-,0.00068207,-8.26778,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a4c1c27c-53a0-4027-83f6-88c52c758bb1?version=20.19.120,
#G0453,Generisk data,Fahrtreppe - Komponenten (förderhöhenabhängig),"Rulletrappe (komponenter, som er afhængige af højden)",2467.1,27.2787,-,-1251.37,1,STK,800,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a4233092-7d86-4a97-ba5c-abc551564f6f?version=20.19.120,
#G0456,Generisk data,Stahl Schmiedebauteil,"Stål, Smedestål",2.80793,-,0.00068207,-0.393,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a255934e-5461-4501-9acf-20ad1b51b044?version=20.19.120,
#G0457,Generisk data,Zementgebundene Spanplatte,Cementbundet spånplade,1694.15,279.382,-,-84.6451,1,M3,1200,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a0d69f94-040e-44b1-a88b-bbaeeb0aae2a?version=20.19.120,
#G0460,Generisk data,Fahrstuhl - Komponenten (stockwerkabhängig),Elevator (komponenter pr. etage),969.289,0.295179,-,-493.136,1,STK,333,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a074d0aa-68fd-4105-9b27-e9cf0042cb4d?version=20.19.120,
#G0463,Generisk data,"Kunststoffteil aus laminiertem Polyesterharz (GFK, 30% Glasfaseranteil)","Glasfiber-forstærket plast, polyester (30% fiberandel)",3.73108,1.59357,-,-0.737851,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/a051b8eb-5e03-486a-b9c3-bfc9d19234de?version=20.19.120,
#G0466,Generisk data,Umwälzpumpe 250-1000W,Cirkulationspumpe 250-1000 W,132.285,4.32995,0.225356,-25.3107,1,STK,24.7,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9fe2649f-bd76-41d8-b952-0021143f1ef7?version=20.19.120,
#G0470,Generisk data,Abwasserrohr ABS,"Rør, Afløbsrør, ABS",4.40853,2.55257,-,-1.4943,1,KG,1,https://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=9fcc1331-0b4f-4c52-a5fc-e42d25c601dd&version=20.19.120,
#G0473,Generisk data,Trinkwasserrohr PE-X,"Rør, Brugsvandsrør, PEX",4.10333,3.76848,-,-1.70559,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9d623359-570b-40ca-8875-60dea3687846?version=20.19.120,
#G0476,Generisk data,"Stahl Feinblech (0,3-3,0mm)","Stålplade (0,3-3,0mm)",2.42761,-,0.00068207,-1.81062,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/9cbdbafe-8377-46ca-a640-8e3c8fc518c0?version=20.19.120,
#G0477,Generisk data,Fußbodenheizung Kupfer (100 mm Abstand),"Gulvvarmesystem inkl. isolering, Kobber (100 mm afstand)",22.3208,3.17258,-,-6.79116,1,M2,5.7,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/99bbfb89-cbca-448d-a991-7cc302a97d4a?version=20.19.120,
#G0483,Generisk data,Kältemittel R410a,Kølemiddel (R410a),8.06324,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/988bb7c3-0a15-4626-a6c0-0883d4ff33dd?version=20.19.120,
#G0484,Generisk data,Ammoniak (R717),Ammoniak (R717),2.49446,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/98482ce0-df9d-4ffd-8d52-43f468022595?version=20.19.120,
#G0487,Generisk data,Lösemittellack weiß,"Overflade, Opløsningsmiddelbaseret lak, hvid",2.95014,0.68517,-,-0.192736,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/95c6760d-1605-430b-8216-825f6c0ac409?version=20.19.120,
#G0490,Generisk data,PE/PP Vlies,"Fiberdug, PE / PP",1.26052,1.88424,-,-0.852793,1,M2,0.5,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/95a4f4b3-b354-4e2c-9046-0a36175cd768?version=20.19.120,
#G0493,Generisk data,Fassadenfarbe Voranstrich Silikat-Dispersion,"Overflade, Facademaling, grunder, silikat",0.900033,-,0.0150055,-0.010823,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0b488798-140f-4efa-96e2-55aa46ed129a?version=20.19.120,
#G0496,Generisk data,Polypropylen-Rohr (PP),"Rør, polypropylen (PP)",2.61984,3.22333,-,-1.46545,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/94355965-8d24-4e78-a910-9f35b8ae1193?version=20.19.120,
#G0499,Generisk data,Stahl Feinblech (20µm bandverzinkt),Stålplade (20 mikrometer galvaniseret),2.67628,-,0.00068207,-1.81062,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/93edef71-49e3-4e1f-ba6d-1e449e7d328d?version=20.19.120,
#G0500,Generisk data,End of Life von Aluminium,"Aluminium, plade og profil, Genanvendelse",-,-,0.00068207,-8.26778,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/93eb05bd-e607-46de-8d7b-e0727f8d2400?version=20.19.120,
#G0502,Generisk data,Metallbeschichtung (wasserbasiert),"Overflade, Metalcoating (vandbaseret)",2.09554,0.248242,-,-0.0698668,1,M2,0.29,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/93eac197-0003-41ea-b81f-e517dd3389fb?version=20.19.120,
#G0505,Generisk data,Schornstein Edelstahl (Einwandig),Skorsten stål (enkelt væg),4.02074,0.000818484,-,-1.27358,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/93a3f055-f26f-4702-a917-2951ca81cd21?version=20.19.120,
#G0511,Generisk data,Flügelrahmen PVC-U,"Vinduesramme, plast",9.24199,4.82076,-,-3.42906,1,M,3.1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/91ea177a-e65a-4fe2-ac2d-2f378a03e168?version=20.19.120,
#G0514,Generisk data,Steinwolle Flachdämmplatte,"Mineraluld, stenuld, teknisk pladeisolering",196.032,0.0163697,-,-,1,M3,146.4,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/908c07fa-6fba-42e4-a91e-d771444309eb?version=20.19.120,
#G0516,Generisk data,Porenbeton P2 04 unbewehrt,Porebeton 380 kg/m³,182.392,2.5558,-,-0.780513,1,M3,380,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/906b4864-0511-480f-a8bc-7b8302efbf0b?version=20.19.120,
#G0519,Generisk data,PE-HD mit PP-Vlies zur Abdichtung,"Folie, PE-HD med PP-fiberdug",3.21161,4.84274,-,-2.19178,1,M2,1.3,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/900336a3-b5f9-4c40-91a9-f9551f84ac64?version=20.19.120,
#G0522,Generisk data,Naturbims Körnung,"Pimpsten, grus",0.00871442,0.002663,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8de12467-96a0-459e-9f97-90e95fb7b23f?version=20.19.120,
#G0523,Generisk data,Pfosten/Riegelsystem aus Aluminium mit Dreifachverglasung Fassade,"Curtain wall facade med 3-lags ruder, aluminium",121.145,6.20355,0.420155,-37.0598,1,M2,16.5,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8d6eba49-1c20-444a-8b34-0b6b47379618?version=20.19.120,
#G0530,Generisk data,Photovoltaiksystem 1000 kWh/m²*a (ohne Stromgutschrift),Solcelleanlæg 1000 kWh / m2*a,296.686,-,12.1364,-36.2013,1,M2,9,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8cfea619-e284-4b6f-a281-46e362a868c4?version=20.19.120,
#G0533,Generisk data,HPL-Platte,HPL- plade,-385.54,1978.67,-,12.1285,1,M3,1400,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8cf90240-cbdd-4415-93a8-9c56da22f111?version=20.19.120,
#G0536,Generisk data,Schnittholz Fichte (12% Feuchte/10.7% H2O),"Træ, gran (12% fugt / 10,7% H2O)",-693.836,876.037,-,-238.748,1,M3,481.6,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3057d7c0-7bee-4ba2-9edf-517d4cd97a14?version=20.19.120,
#G0543,Generisk data,Lehmputz,Lerpuds,93.1477,2.80641,-,-3.89165,1,M3,900,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=8be785fa-5548-4ea5-a2d7-b962675b9eff&version=20.19.120&stock=OBD_2021_II&lang=de,
#G0546,Generisk data,"Aluminium-Rahmenprofil, pulverbeschichtet","Vinduesprofil, karm, alu. pulverlak.",13.0541,-,0.00068207,-8.26778,1,M,1.02,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8b3ee4e2-c086-41dc-bd07-e9e853f9da8b?version=20.19.120,
#G0547,Generisk data,Gas-Brennwertgerät < 20 kW (Wandgerät),Kondenserende gaskedel <20 kW (væg enhed),243.628,7.05425,0.512009,-59.3075,1,STK,43,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8acef115-85c0-45f8-9999-9d3b87692fa7?version=20.19.120,
#G0551,Generisk data,Edelstahlblech,"Stålplade, rustfri",3.42727,-,0.00068207,-2.66377,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/88559403-7658-48f2-bac9-7986b4d0f4c2?version=20.19.120,
#G0552,Generisk data,Kunststoffprofil CR (Chloropren-Kautschuk),Plast profil CR (chloropren gummi),6.35686,3.56146,-,-1.52255,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/884efbb3-7be6-4e4d-9726-c39c1b781436?version=20.19.120,
#G0555,Generisk data,Stahlrohr,"Stålrør, gevindrør",2.51374,0.00150055,-,-1.55923,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8622539c-592c-45b0-9a4b-e5f8b4fea367?version=20.19.120,
#G0558,Generisk data,Asphalttragschicht,"Asfalt, bærelag",0.0711519,0,-,-0.0263052,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/85de02e5-2782-4050-9c01-c5de3849fbce?version=20.19.120,
#G0561,Generisk data,Voranstrich (Silikat-Dispersion),"Grunder, silikat dispersion",0.579701,-,0.0163697,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/85c41389-d62e-4dff-a819-896b35367cbc?version=20.19.120,
#G0563,Generisk data,"Parkettlack (Grundierung Holz, wasserverdünnt)","Overflade, Parket lak (primer til træ; fortyndet med vand)",1.81695,0.912953,-,-0.256981,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/859897ae-5ea2-4b55-9508-49297dd6ba6c?version=20.19.120,
#G0566,Generisk data,"Flüssiggastank 4850 l/2,1 t (unterirdisch)","LPG tank 4850 l / 2,1 t (underjordisk)",3084.11,78.1327,-,-1735.34,1,STK,1116.7,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8595cc43-c24f-4002-8d2b-c9386de7fae4?version=20.19.120,
#G0572,Generisk data,Polybutadien-Rohr (PB),Polybutadiene rør (PB),4.10241,3.22333,-,-1.46545,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/83a21998-b507-429e-bbe3-b5629e601138?version=20.19.120,
#G0575,Generisk data,Anhydrit Mix,Anhydrit mix,0.0892567,0.002663,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/839771be-ab23-4873-8b14-b2aa0f6ce9d9?version=20.19.120,
#G0576,Generisk data,Perlite 0-1,Perlite 0-1 mm,0.522459,0.002663,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/82c7e263-3026-45f8-aec7-ebdf818464e4?version=20.19.120,
#G0577,Generisk data,Dachziegel,"Tagsten, tegl",15.8784,0.30266,-,-0.0924292,1,M2,45,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/826fa2c2-c691-4844-83d3-aea0e8a54bcd?version=20.19.120,
#G0580,Generisk data,Bimssand,Pimpsten 0-4 mm,0.00869385,0.002663,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/81a76ff5-8928-4f71-8e1f-c7c78b7e5a95?version=20.19.120,
#G0581,Generisk data,Fassadenfarbe Silikonharzfarbe,"Overflade, Facademaling, silikoneharpiks",1.25633,0,0.0150055,-0.00967088,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/815fb8f6-04cc-494d-ab6b-1b6eae98bfca?version=20.19.120,
#G0592,Generisk data,Schnittholz Zeder (12% Feuchte/10.7% H2O),"Træ, ceder",-809.968,1037.52,-,-282.581,1,M3,571,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d7073560-4c4b-4cb0-b6bf-a902950c5109?version=20.19.120,
#G0595,Generisk data,Gummi-Bodenbelag mit Schaumstoffbeschichtung EN 1816,Gummigulve med skumbagside EN 1816,13.22,10.9893,-,-6.47756,1,M2,3.82,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/7d8cb95b-99c2-4824-97a0-55d2fca5cedd?version=20.19.120,
#G0598,Generisk data,Strom-Wärmepumpe (Wasser-Wasser) 10 kW,"Varmepumpe, vand-vand, 10 kW",284.922,5.22458,0.0300174,-173.463,1,STK,104.2,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/7d027677-b2e3-40dd-a4b1-91bd8f7383d5?version=20.19.120,
#G0602,Generisk data,Strom Wärmepumpe (Luft-Wasser) 10 kW,Varmepumpe (luft-vand) 10 kW,458.991,30.0855,4.28176,-241.521,1,STK,134,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/7c0455a7-fc89-4c3c-8225-d528e4375662?version=20.19.120,
#G0606,Generisk data,Kalkfarbe,"Overflade, Kalkmaling",0.924854,-,0.0163697,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/7baed44c-c80b-4340-b3af-f01d71fbbb43?version=20.19.120,
#G0608,Generisk data,Kautschuk-Dichtmasse,Gummitætning,3.6402,3.03476,-,-1.40543,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/7a4d3393-a33a-47c8-b42f-42d8ec6a90f6?version=20.19.120,
#G0611,Generisk data,Abwasserrohr PP,"Rør, Kloakrør PP",2.61984,3.45444,-,-1.70559,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/795b4798-b745-4189-a2b8-5d5f37d8d490?version=20.19.120,
#G0614,Generisk data,"Transparente Platten PMMA, gegossen","Plastplade, transparent, PMMA støbte",6291.42,2889.91,-,-1139.6,1,M3,1190,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/795ab193-fc50-463d-a5f8-e37d5336ee78?version=20.19.120,
#G0617,Generisk data,"Natursteinplatte, weich, Fassade","Naturstensplade, blød, facade",16.231,0.699482,-,-0.213614,1,M2,104,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/79075297-4dc0-42c6-bc90-e3bf9fa0fb4c?version=20.19.120,
#G0620,Generisk data,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 70 kW","Rør til el-varmepumpe (lodret jordvarme, saltvand), probe, 70 kW",1804.28,0,-,-,1,STK,1843.4,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d61e346a-1490-4ac6-adf5-3e9323f5b967?version=20.19.120,
#G0622,Generisk data,Fliesenkleber,"Mørtel, fliseklæber",0.347032,-,0.0163697,-0.00285525,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/78b7cd15-d82a-4ffa-ae08-870b6e5d35d4?version=20.19.120,
#G0625,Generisk data,"Aluminiumfolie (d=0,1 mm)","Aluminiumsfolie (d=0,1 mm)",3.11981,-,0.00068207,-8.26778,1,M2,0.28,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/785d5ac4-c69d-4e00-941e-26433c1d023d?version=20.19.120,
#G0626,Generisk data,Holzwolle-Leichtbauplatte,Træbetonplade,-29.3699,317.455,-,-113.794,1,M3,360,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/76d3f78a-8743-49fe-b4a1-f43b819cb930?version=20.19.120,
#G0629,Generisk data,Kunststoffprofil Silikon,"Plastprofil, silikone",6.85795,1.0128,-,-0.468477,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/763abb33-ad4f-44fa-bc49-8c483e67b2b1?version=20.19.120,
#G0632,Generisk data,Polyurethan Hartschaum (Rohrisolierung),Polyurethanskum (rørisolering),200.718,2.73128,-,-1.26489,1,M3,30,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/75ce5bab-4506-4f7e-8c20-a638a98b7537?version=20.19.120,
#G0635,Generisk data,Nylon Gussteil (PA 6.6),Nylonstøbning (PA 6.6),10.6619,2.87643,-,-1.08716,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/7511c948-c441-42fb-9ff1-cfdc54e58d7e?version=20.19.120,
#G0638,Generisk data,Splitt 2/15 (getrocknet),"Grus, 2-15 mm, tørret",0.0342735,0.00672578,-,-0.00205398,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/7502766c-df2f-4f8d-8d45-17bb6938eac8?version=20.19.120,
#G0644,Generisk data,Fenster-Beschlag für vertikales Schiebefenster,Beslag til lodrette skydevinduer,11.591,-,0.00068207,-2.66377,1,STK,0.93,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/72c69944-5250-4269-ad34-2e20e5e38231?version=20.19.120,
#G0645,Generisk data,Kalk-Gips-Innenputz,"Puds, kalk-gips, inde",198.85,-,13.505,-,1,M3,900,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/70f6e305-e46f-4719-a94f-70267b936029?version=20.19.120,
#G0647,Generisk data,Melaminharz-Schaum,Melamin-skum,6.5813,1.43404,-,-0.663676,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/7082b2c3-5203-40ba-a6f8-d16edba60f5f?version=20.19.120,
#G0650,Generisk data,Schüttung aus Polystyrolschaumstoff-Partikeln (zementgebunden),Polystyren granulat (cementbundet),160.083,103.432,-,-43.3217,1,M3,350,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/704177f4-78cd-47a3-b71c-07899df86615?version=20.19.120,
#G0656,Generisk data,Polycarbonatplatte,Polycarbonatplade,5.93594,3.32856,-,-1.14044,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6fc1267a-1f4d-4244-a65e-df8a0a3ccc50?version=20.19.120,
#G0659,Generisk data,Fußbodenheizung PP (100 mm Abstand),"Gulvvarmesystem inkl. isolering, PP (100 mm afstand)",6.13759,6.68108,-,-2.78435,1,M2,1.9,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6f4a3a08-50d7-45e0-a4f8-e34f1bc6430e?version=20.19.120,
#G0662,Generisk data,Lüfter zentral mit WRG 10000 m³/h,Ventilationsaggregat m. varmegenvinding 10 000 m3 / h,2815.96,3.47325,0.270427,-1717.02,1,STK,703.94,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6e62f780-792b-406b-84a0-6beac88d1245?version=20.19.120,
#G0666,Generisk data,"Flüssiggastank 2700 l/1,2 t (unterirdisch)","LPG tank 2700 l / 1,2 t (underjordisk)",2135.85,54.2252,-,-1202.05,1,STK,773.33,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6e520eb3-0b5e-4c7a-b702-244f93faff73?version=20.19.120,
#G0673,Generisk data,Asphaltbinder,Bindelag,0.0778388,0,-,-0.0263052,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6b6b68f8-34a4-4a0f-97ee-714bf106c3e0?version=20.19.120,
#G0679,Generisk data,"Aluminium-Flügelrahmenprofil, pulverbeschichtet","Vinduesramme, pulverlakeret aluminium",12.5422,-,0.00068207,-8.26778,1,M,0.98,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/66990642-726e-4483-abc3-d5d0b4d7a5e7?version=20.19.120,
#G0680,Generisk data,EPDM-Dichtungen für Aluminiumprofil,EPDM-tætning til aluminiumsprofil,0.578307,0.564894,0.564566,-0.610451,1,M,0.18,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/66094ad5-51d6-45c4-b2e3-451220520cab?version=20.19.120,
#G0684,Generisk data,Schornstein Polypropylen (PP),Skortsten polypropylen (PP),2.50046,2.73128,-,-1.26489,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/65ed50b4-0fd3-45b2-8ccd-990908939d46?version=20.19.120,
#G0687,Generisk data,Polyethylen-Schaum,Polyethylen-skum,3.05545,3.98495,-,-1.80361,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/65af52ac-382b-4069-aafe-b044b3960356?version=20.19.120,
#G0690,Generisk data,Regenabflussrohr SML,"Regnvandsrør, støbejern",0.722883,-,0.00068207,-0.393,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/64e16249-8051-483b-968e-46008a43ef18?version=20.19.120,
#G0691,Generisk data,Calziumsilikatplatte,Kalciumsilikatplade,550.399,1.65087,-,-0.462146,1,M3,225,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6405878c-ed34-4bee-b100-5208a3212ec6?version=20.19.120,
#G0698,Generisk data,Sand 0/2,Sand 0-2 mm,0.00285398,0.00672578,-,-0.00205398,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/61655387-edd4-4800-ba3e-67bc15f2f096?version=20.19.120,
#G0701,Generisk data,Spanplatte (Durchschnitt),Spånplade,-873.594,1268.47,-,-2.93429,1,M3,700,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/60e8b384-adf2-4c3b-b3da-e407df106cf5?version=20.19.120,
#G0704,Generisk data,Solaranlage Flachkollektor,"Solvarmekollektor, plan",104.039,1.17626,-,-57.2425,1,M2,18.27,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/60e0575b-6cb4-4ba4-a9f0-78d8fb65c9a9?version=20.19.120,
#G0707,Generisk data,Lehmstein,Lersten,93.6405,4.0537,-,-1.76256,1,M3,1200,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/606d978a-c44a-4b3e-8387-b1291b12e522?version=20.19.120,
#G0710,Generisk data,Einblasdämmung Mineralwolle,"Mineraluld, løsfyld",64.0233,1.24651,0.690596,-,1,M3,50,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/601af947-1f14-474d-8233-780715a12268?version=20.19.120,
#G0713,Generisk data,Hanfvlies,Hampfiberdug,19.1569,86.1825,-,-12.0031,1,M3,38,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5ef0c519-f5b2-4d45-809d-5f417f90e90b?version=20.19.120,
#G0716,Generisk data,Blendrahmen PVC-U,"Vindueskarm, plast",8.25055,3.91687,-,-3.22888,1,M,2.8,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5e90e94d-6e79-4d9f-854c-fb33f15c033e?version=20.19.120,
#G0719,Generisk data,Fußbodenheizung Kupfer (200 mm Abstand),"Gulvvarmesystem inkl. isolering, Kobber (200 mm afstand)",12.979,3.16865,-,-4.05503,1,M2,3.3,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5dad78e0-234c-49d0-93aa-a06c6efee60f?version=20.19.120,
#G0722,Generisk data,Gips (CaSO4-Alpha-Halbhydrat),"Gipspulver, Alpha-halvhydrat",0.261835,-,0.0163697,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5ce375b1-eb6d-4fc7-84bb-11ae702d3056?version=20.19.120,
#G0729,Generisk data,Steinwolle Heizungsrohrschale,"Mineraluld, stenuld, rørskål",317.952,0.0163697,-,-,1,M3,151,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5c1776a7-de57-4b4d-87fc-933f52fddd6e?version=20.19.120,
#G0731,Generisk data,Gussasphalt,Støbeasfalt,0.11688,0,0.0793276,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/ad94ce55-af1d-4da0-963c-bf263aaa37ee?version=20.19.120,
#G0734,Generisk data,"Bitumen Kaltkleber (60% Bitumen, 23%LM, 17% Wasser)",Bitumenklæber,0.61328,0,0.0859383,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5ae00c4e-1b1c-4374-9864-2aee735a0563?version=20.19.120,
#G0737,Generisk data,Transparente Platten PVC,"Plastplade, transparent, PVC",3996.11,4010,-,-814.07,1,M3,1220,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5a88b96e-23d0-4656-9ee2-fc271c89c95b?version=20.19.120,
#G0740,Generisk data,"Betonrohr, bewehrt","Betonrør, armeret",0.141743,0.00721909,-,-0.00202091,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5a1cbf92-ed39-4e8c-bd01-5463bffb3c9d?version=20.19.120,
#G0743,Generisk data,Stampflehmwand,"Ler, stampet ler",9.34931,6.75616,-,-2.93761,1,M3,2000,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/59622fc0-d719-43bf-a16b-ae924ae0d276?version=20.19.120,
#G0746,Generisk data,Porenbeton Granulat,Porebeton granulat,5.28468,2.69031,-,-0.821592,1,M3,400,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/57a87943-dbdd-4221-bbd2-481b8fcd1d2b?version=20.19.120,
#G0754,Generisk data,Sonnenschutztuch,"Solafskærmning, polyethylenterephthalat (PET)",4.194,1.10342,-,-0.335872,1.25077,M2,0.4,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/5662c927-cd47-46e5-b753-925db31b9870?version=20.19.120,
