Sorterings ID,Data type,Navn DE/ENG,Navn DK,"Global Opvarmning, modul A1-A3","Global Opvarmning, modul C3","Global Opvarmning, modul C4","Global Opvarmning, modul D",Deklareret faktor (FU),Deklareret enhed (FU),Masse faktor,Url (link),Kommentar
#G0214,Generisk data,Tragdeckschicht,"Bære-/slidlag, Asfalt",0.0789355,0,-,-0.0263052,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d84cbf6a-0a50-426f-aa3d-c45918b43575?version=20.19.120,
#G0217,Generisk data,Kalkputzmörtel,Kalkpuds,407.986,-,27.01,-,1,M3,1800,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d7f4a913-441f-4c21-aae5-42e421737e29?version=20.19.120,
#G0219,Generisk data,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 10 kW","Rør til el-varmepumpe (lodret jordvarme, saltvand), probe, 10 kW",614.302,0,-,-,1,STK,188.8,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d775709c-1411-4aeb-9d20-36e1e8def5e2?version=20.19.120,
#G0221,Generisk data,Schnittholz Lärche (12% Feuchte/10.7% H2O),"Træ, lærk",-907.564,1186.9,-,-314.259,1,M3,660.8,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8c47fba4-0e61-48d1-a03f-bf17911f0dae?version=20.19.120,
#G0224,Generisk data,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 20 kW","Rør til el-varmepumpe (lodret jordvarme, saltvand), probe, 20 kW",6027.13,0,-,-,1,STK,551.5,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/79002203-de3f-4da6-9a72-b689615b9963?version=20.19.120,
#G0226,Generisk data,Pulverbeschichten von Metallen,"Overflade, Pulver coating af metal",4.09796,0.205333,-,-0.0578208,1,M2,0.18,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d61a6f60-bcca-4bf6-a151-bd076b4c3366?version=20.19.120,
#G0229,Generisk data,Lacksysteme Holzfenster Grundierung weiß,"Overflade, trævinduer, hvid grunder",1.82186,0.784673,-,-0.243853,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d5fe89f0-5fd2-4981-bb87-e74bbf13ef88?version=20.19.120,
#G0235,Generisk data,Bleibleche,Blyplader,1.28344,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d596ddf7-aaf3-44cc-b7ae-faedc8d0870a?version=20.19.120,
#G0239,Generisk data,Pufferspeicher (Edelstahl),"Buffertank, rustfast stål",4.05831,0.663445,-,-1.20298,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d3f58b23-9526-43be-8a32-fb583dfebfaa?version=20.19.120,
#G0242,Generisk data,Porenbeton P4 05 bewehrt,"Porebeton 474 kg/m³, armeret",263.192,3.36101,-,-1.02642,1,M3,500,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d3b59cac-3b4e-4d18-8c3a-780b553c9591?version=20.19.120,
#G0245,Generisk data,Fassadenklinker,Facadeklinker,541.904,13.4516,-,-4.10796,1,M3,2000,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d311ba82-a703-4865-b5e3-f704e5b88712?version=20.19.120,
#G0248,Generisk data,"Kalk (CaO, Feinkalk)","Kalk, malet",1.44393,0.002663,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d1d6f54d-9709-4302-8276-fdb7d06801fd?version=20.19.120,
#G0252,Generisk data,Difluormethan (R32),Difluormethan (R32),5.22467,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d05ec06c-0443-4357-8915-ba745dcc84a5?version=20.19.120,
#G0253,Generisk data,Gaswärmepumpe (Luft) 20-70 kW,Gas varmepumpe (luft) 20-70 kW,362.364,10.373,6.32349,-207.236,1,STK,156.82,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d05d595c-7542-42e2-9a02-df9c8c75e567?version=20.19.120,
#G0257,Generisk data,Gas-Niedertemperaturgerät 120-400 kW (Standgerät),"Gaskedel, kondenserende, 120-400 kW",2842.15,71.5794,1.80384,-507.684,1,STK,937,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/cf9764d1-3aba-4e5e-8795-a8f1ee93d9e5?version=20.19.120,
#G0261,Generisk data,Zellulosefaserplatten,Papiruldsplader,-19.9935,176.145,-,-69.6378,1,M3,80,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/cf963fcb-0e03-48c0-b501-ad0d1e3c22c0?version=20.19.120,
#G0264,Generisk data,Phenolharz Hartschaum,"Phenolplast, stift skum (PF)",87.3203,90.0279,-,-31.9992,1,M3,40,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/cf6e341b-3de7-4e24-b4d2-8ac484ee7c0e?version=20.19.120,
